SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
BSE,D,826922,OPTSTK,0,ASHOKLEY-Aug2026-145-PE,5000.0,ASHOKLEY 27 AUG 145 PUT,2026-08-27 15:30:00,145.0,PE,5.0,M,OPTSTK,,ALLDOPT
BSE,D,826923,OPTSTK,0,ABB-Aug2026-7050-CE,125.0,ABB 27 AUG 7050 CALL,2026-08-27 15:30:00,7050.0,CE,5.0,M,OPTSTK,,ABBLOPT
BSE,D,826924,OPTSTK,0,PERSISTENT-Aug2026-4800-PE,125.0,PERSISTENT 27 AUG 4800 PUT,2026-08-27 15:30:00,4800.0,PE,5.0,M,OPTSTK,,PESLOPT
BSE,D,826925,OPTSTK,0,NBCC-Aug2026-100-PE,6500.0,NBCC 27 AUG 100 PUT,2026-08-27 15:30:00,100.0,PE,5.0,M,OPTSTK,,NBCCOPT
BSE,D,826926,OPTSTK,0,COFORGE-Aug2026-1420-CE,475.0,COFORGE 27 AUG 1420 CALL,2026-08-27 15:30:00,1420.0,CE,5.0,M,OPTSTK,,NIITOPT
BSE,D,826927,OPTSTK,0,AMBUJACEM-Aug2026-480-CE,1200.0,AMBUJACEM 27 AUG 480 CALL,2026-08-27 15:30:00,480.0,CE,5.0,M,OPTSTK,,AMBCOPT
BSE,D,826928,OPTIDX,0,SENSEX-Jul2026-69600-PE,20.0,SENSEX 16 JUL 69600 PUT,2026-07-16 15:30:00,69600.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,826929,OPTSTK,0,SUPREMEIND-Aug2026-4000-PE,175.0,SUPREMEIND 27 AUG 4000 PUT,2026-08-27 15:30:00,4000.0,PE,5.0,M,OPTSTK,,SUPLOPT
BSE,D,826930,OPTSTK,0,ADANIGREEN-Aug2026-1530-PE,600.0,ADANIGREEN 27 AUG 1530 PUT,2026-08-27 15:30:00,1530.0,PE,5.0,M,OPTSTK,,AGELOPT
BSE,D,826931,OPTIDX,0,SENSEX-Jul2026-81900-CE,20.0,SENSEX 16 JUL 81900 CALL,2026-07-16 15:30:00,81900.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,826932,OPTIDX,0,SENSEX50-Aug2026-25750-PE,75.0,SENSEX50 27 AUG 25750 PUT,2026-08-27 15:30:00,25750.0,PE,5.0,M,OPTIDX,,SX50OPT
BSE,D,826933,OPTSTK,0,OFSS-Jul2026-10900-PE,100.0,OFSS 30 JUL 10900 PUT,2026-07-30 15:30:00,10900.0,PE,5.0,M,OPTSTK,,OFSSOPT
BSE,D,826934,FUTSTK,0,GVT&D-Aug2026-FUT,125.0,GVT&D AUG  FUT,2026-08-27 15:30:00,0.0,,5.0,M,FUTSTK,,GVTDFUT
BSE,D,826935,OPTSTK,0,TORNTPHARM-Aug2026-4250-PE,125.0,TORNTPHARM 27 AUG 4250 PUT,2026-08-27 15:30:00,4250.0,PE,5.0,M,OPTSTK,,TRPLOPT
BSE,D,826936,OPTSTK,0,SHRIRAMFIN-Aug2026-910-CE,825.0,SHRIRAMFIN 27 AUG 910 CALL,2026-08-27 15:30:00,910.0,CE,5.0,M,OPTSTK,,SHTFOPT
BSE,D,826937,OPTSTK,0,NAUKRI-Aug2026-970-PE,550.0,NAUKRI 27 AUG 970 PUT,2026-08-27 15:30:00,970.0,PE,5.0,M,OPTSTK,,NAUKOPT
BSE,D,826938,OPTSTK,0,NBCC-Aug2026-105-CE,6500.0,NBCC 27 AUG 105 CALL,2026-08-27 15:30:00,105.0,CE,5.0,M,OPTSTK,,NBCCOPT
BSE,D,826939,OPTSTK,0,JINDALSTEL-Aug2026-1280-CE,625.0,JINDALSTEL 27 AUG 1280 CALL,2026-08-27 15:30:00,1280.0,CE,5.0,M,OPTSTK,,JSPLOPT
BSE,D,826940,OPTSTK,0,TITAN-Aug2026-4300-PE,175.0,TITAN 27 AUG 4300 PUT,2026-08-27 15:30:00,4300.0,PE,5.0,M,OPTSTK,,TITAOPT
BSE,D,826942,OPTSTK,0,SUNPHARMA-Aug2026-1900-CE,350.0,SUNPHARMA 27 AUG 1900 CALL,2026-08-27 15:30:00,1900.0,CE,5.0,M,OPTSTK,,SUNPOPT
